gene_name	nm_name
PIEZO1	NM_001142864
PIK3C2A	NM_002645
PIK3C2B	NM_001377334
PIK3C2G	NM_004570
PIK3C3	NM_002647
PIK3CA	NM_006218
PIK3CB	NM_006219
PIK3CD	NM_005026
PIK3CG	NM_002649
PIK3R1	NM_181523
PIK3R2	NM_005027
PIK3R3	NM_003629
PIK3R4	NM_014602
PIK3R5	NM_001142633
PIK3R6	NM_001010855
PIKFYVE	NM_015040
PIM1	NM_002648
PIP5K1A	NM_001135638
PIWIL1	NM_004764
PKD1	NM_001009944
PKHD1L1	NM_177531
PLAG1	NM_002655
PLCG1	NM_002660
PLCG2	NM_002661
PLCH1	NM_014996
PLEC	NM_201378
PLK1	NM_005030
PLK2	NM_006622
PLK3	NM_004073
PLK4	NM_014264
PLPP5	NM_001102559
PLS1	NM_001145319
PMAIP1	NM_021127
PML	NM_033238
PMS1	NM_000534
PMS2	NM_000535
PNPLA3	NM_025225
PNPLA6	NM_001166114
PNRC1	NM_006813
POLD1	NM_002691
POLD2	NM_006230
POLD3	NM_006591
POLD4	NM_021173
POLE	NM_006231
POLE2	NM_002692
POLE3	NM_017443
POLE4	NM_019896
POLH	NM_006502
POLK	NM_006999
POLL	NM_001174084
POLM	NM_013284
POLQ	NM_199420
POLR2A	NM_000937
POM121L12	NM_182595
POT1	NM_015450
POTEF	NM_001099771
POU2AF1	NM_006235
PPARA	NM_005036
PPARG	NM_015869
PPARGC1A	NM_013261
PPFIBP1	NM_003622
PPM1D	NM_003620
PPP2R1A	NM_014225
PPP2R2A	NM_002717
PPP4C	NM_002720
PPP4R2	NM_174907
PPP5C	NM_006247
PPP6C	NM_002721
PRDM1	NM_001198
PRDM14	NM_024504
PRDM16	NM_022114
PREX2	NM_024870
PRF1	NM_001083116
PRG4	NM_005807
PRICKLE4	NM_013397
PRKAA1	NM_006251
PRKACA	NM_002730
PRKACB	NM_182948
PRKAR1A	NM_212471
PRKCA	NM_002737
PRKCB	NM_002738
PRKCD	NM_006254
PRKCE	NM_005400
PRKCG	NM_002739
PRKCI	NM_002740
PRKCQ	NM_006257
PRKCZ	NM_002744
PRKD1	NM_002742
PRKD3	NM_005813
PRKDC	NM_006904
PRKG1	NM_006258
PRKN	NM_004562
PRKX	NM_005044
PRMT1	NM_001536
PRMT2	NM_206962
PROP1	NM_006261
PROSER2	NM_153256
PRPF8	NM_006445
PRRC1	NM_130809
PRRT2	NM_145239
PRSS1	NM_002769
PRSS12	NM_003619
PRSS8	NM_002773
PRUNE2	NM_015225
PSIP1	NM_033222
PSMG4	NM_001128591
PTCH1	NM_000264
PTEN	NM_000314
PTGDS	NM_000954
PTGS2	NM_000963
PTK2	NM_001352702
PTK2B	NM_173176
PTK6	NM_005975
PTK7	NM_002821
PTP4A1	NM_003463
PTPN1	NM_001278618
PTPN11	NM_002834
PTPN12	NM_002835
PTPN13	NM_080683
PTPN18	NM_014369
PTPN22	NM_015967
PTPN6	NM_002831
PTPRB	NM_001109754
PTPRC	NM_002838
PTPRD	NM_002839
PTPRK	NM_002844
PTPRN2	NM_002847
PTPRO	NM_030667
PTPRS	NM_002850
PTPRT	NM_007050
PVT1	NR_003367
PXDNL	NM_144651
QKI	NM_006775
RAB10	NM_016131
RAB25	NM_020387
RAB35	NM_006861
RABEP1	NM_004703
RABGGTA	NM_182836
RAC1	NM_018890
RAC2	NM_002872
RAD1	NM_002853
RAD17	NM_133338
RAD18	NM_020165
RAD21	NM_006265
RAD50	NM_005732
RAD51	NM_002875
RAD51AP1	NM_006479
RAD51AP2	NM_001099218
RAD51B	NM_133509
RAD51C	NM_058216
RAD51D	NM_002878
RAD52	NM_134424
RAD54L	NM_003579
RAD9A	NM_004584
RAD9B	NM_001286535
RAF1	NM_002880
RALGDS	NM_006266
RANBP2	NM_006267
RAP1GDS1	NM_001100427
RAP2C	NM_001271186
RARA	NM_000964
RASA1	NM_002890
RASAL1	NM_001301202
RASSF1	NM_007182
RB1	NM_000321
RB1CC1	NM_014781
RBBP8	NM_002894
RBM10	NM_001204468
RBM17	NM_032905
RBM6	NM_005777
RBMX	NM_002139
RCAN2	NM_001251974
RECQL	NM_002907
RECQL4	NM_004260
RECQL5	NM_004259
REL	NM_002908
RELA	NM_021975
RELN	NM_005045
REST	NM_005612
RET	NM_020975
REXO4	NM_020385
RFC1	NM_002913
RFC2	NM_181471
RFC3	NM_002915
RFC4	NM_002916
RFWD2	NM_022457
RGMB	NM_001366508
RHEB	NM_005614
RHNO1	NM_001252499
RHOA	NM_001664
RICTOR	NM_152756
RIF1	NM_018151
RIMS2	NM_001348484
RIOK1	NM_031480
RIPK1	NM_001354930
RIT1	NM_006912
RMI1	NM_001358291
RMI2	NM_152308
RNASEL	NM_021133
RNF168	NM_152617
RNF2	NM_007212
RNF213	NM_001256071
RNF4	NM_002938
RNF43	NM_017763
RNF8	NM_003958
ROBO1	NM_002941
ROBO2	NM_001395656
ROCK1	NM_005406
ROCK2	NM_004850
ROS1	NM_002944
RPA1	NM_002945
RPA2	NM_002946
RPA3	NM_002947
RPGR	NM_001034853
RPL22	NM_000983
RPL5	NM_000969
RPS27A	NM_002954
RPS6	NM_001010
RPS6KA1	NM_002953
RPS6KA2	NM_021135
RPS6KA3	NM_004586
RPS6KA4	NM_003942
RPS6KA5	NM_004755
RPS6KB1	NM_003161
RPS6KB2	NM_003952
RPTN	NM_001122965
RPTOR	NM_020761
RRAGC	NM_022157
RRAS	NM_006270
RRAS2	NM_012250
RRM1	NM_001033
RRM2	NM_001034
RRP7A	NM_015703
RSPO2	NM_178565
RTEL1	NM_001283009
RUNX1	NM_001754
RUNX1T1	NM_001198626
RXRA	NM_002957
RYBP	NM_012234
RYR1	NM_000540
RYR2	NM_001035
RYR3	NM_001036
S100A8	NM_002964
S100B	NM_006272
S1PR2	NM_004230
SACS	NM_014363
SALL4	NM_020436
SAMHD1	NM_015474
SART3	NM_014706
SCAP	NM_012235
SCN10A	NM_006514
SCN7A	NM_002976
SCN8A	NM_014191
SDC4	NM_002999
SDHA	NM_004168
SDHAF2	NM_017841
SDHB	NM_003000
SDHC	NM_003001
SDHD	NM_003002
SEC31A	NM_001077207
SEMA3C	NM_006379
SERPINB3	NM_006919
SERPINB4	NM_002974
SESN1	NM_014454
SESN2	NM_031459
SESN3	NM_144665
SETBP1	NM_015559
SETD1A	NM_014712
SETD1B	NM_001353345
SETD2	NM_014159
SETD5	NM_001080517
SETDB1	NM_001145415
SETDB2	NM_031915
SF1	NM_004630
SF3A1	NM_005877
SF3B1	NM_012433
SFRP2	NM_003013
SFRP4	NM_003014
SGK1	NM_005627
SGK2	NM_170693
SH2B3	NM_005475
SH2D1A	NM_002351
SHC1	NM_001130040
SHCBP1	NM_024745
SHH	NM_000193
SHOC2	NM_007373
SHQ1	NM_018130
SIK2	NM_015191
SIN3A	NM_001145358
SIRT1	NM_012238
SIRT6	NM_016539
SIRT7	NM_016538
SKIL	NM_005414
SLC15A2	NM_021082
SLC19A3	NM_025243
SLC1A2	NM_004171
SLC1A4	NM_003038
SLC1A5	NM_005628
SLC20A1	NM_005415
SLC22A9	NM_080866
SLC25A25	NM_001330988
SLC34A2	NM_006424
SLC35A1	NM_006416
SLC3A2	NM_001013251
SLC5A1	NM_000343
SLCO1B1	NM_006446
SLFN11	NM_001104587
SLIT2	NM_004787
SLIT3	NM_003062
SLITRK1	NM_001281503
SLX1A	NM_001014999
SLX1B	NM_024044
SLX4	NM_032444
SMAD2	NM_001003652
SMAD3	NM_005902
SMAD4	NM_005359
SMARCA1	NM_001282874
SMARCA2	NM_003070
SMARCA4	NM_001128849
SMARCA5	NM_003601
SMARCB1	NM_003073
SMARCD1	NM_003076
SMC1A	NM_006306
SMC3	NM_005445
SMG1	NM_015092
SMO	NM_005631
SMURF1	NM_181349
SMYD3	NM_001167740
SNCAIP	NM_005460
SND1	NM_014390
SNX25	NM_001378034
SNX29	NM_032167
SOCS1	NM_003745
SOCS2	NM_001270471
SOS1	NM_005633
SOX10	NM_006941
SOX11	NM_003108
SOX17	NM_022454
SOX2	NM_003106
SOX3	NM_005634
SOX9	NM_000346
SP140	NM_007237
SPATA31C1	NM_001145124
SPEG	NM_005876
SPEN	NM_015001
SPIDR	NM_001080394
SPINK6	NM_205841
SPOCK1	NM_004598
SPOP	NM_001007228
SPRED1	NM_152594
SPSB2	NM_032641
SPTA1	NM_003126
SRC	NM_198291
SRMS	NM_080823
SRSF2	NM_003016
SRSF5	NM_001320214
SS18	NM_001007559
SSPO	NM_198455
SSTR1	NM_001049
SSTR2	NM_001050
SSTR3	NM_001051
SSTR5	NM_001172560
SSX7	NM_173358
ST8SIA4	NM_005668
STAG1	NM_005862
STAG2	NM_001042749
STARD9	NM_020759
STAT1	NM_007315
STAT3	NM_139276
STAT4	NM_003151
STAT5A	NM_003152
STAT5B	NM_012448
STAT6	NM_001178078
STIL	NM_001048166
STK11	NM_000455
STK19	NM_004197
STK36	NM_015690
STK40	NM_032017
STRN	NM_003162
STUB1	NM_005861
STXBP2	NM_006949
SUFU	NM_016169
SUGP2	NM_001017392
SUMO1	NM_003352
SUMO2	NM_006937
SUZ12	NM_015355
SVIL	NM_021738
SWAP70	NM_015055
SYK	NM_003177
SYNE1	NM_001347702
SYNE2	NM_182914
TACC3	NM_006342
TAF1	NM_004606
TAF1L	NM_153809
TAF9B	NM_015975
TAL1	NM_001287347
TANC1	NM_033394
TAP1	NM_000593
TAP2	NM_018833
TAS2R31	NM_176885
TBC1D17	NM_024682
TBK1	NM_013254
TBL1XR1	NM_024665
TBX22	NM_001109878
TBX3	NM_016569
TCEB1	NM_005648
TCF12	NM_207037
TCF3	NM_001136139
TCF7L1	NM_031283
TCF7L2	NM_001146274
TDG	NM_003211
TDP1	NM_018319
TDP2	NM_016614
TDRD12	NM_001366102
TEC	NM_003215
TEK	NM_000459
TENM1	NM_001163278
TENM2	NM_001395460
TENT5C	NM_017709
TEP1	NM_007110
TERC	NR_001566
TERT	NM_198253
TET1	NM_030625
TET2	NM_001127208
TET3	NM_144993
TEX15	NM_001350162
TFE3	NM_006521
TFEB	NM_001271944
TG	NM_003235
TGFB1	NM_000660
TGFB2	NM_003238
TGFBI	NM_000358
TGFBR1	NM_004612
TGFBR2	NM_003242
TGFBR3	NM_003243
TIMELESS	NM_003920
TIMM44	NM_006351
TIMM8A	NM_004085
TIMP3	NM_000362
TIPARP	NM_015508
TIPIN	NM_017858
TKTL1	NM_012253
TLE1	NM_005077
TLE2	NM_003260
TLE4	NM_007005
TLL2	NM_012465
TLN2	NM_015059
TLR2	NM_001318789
TLR4	NM_138554
TLR9	NM_017442
TMC1	NM_138691
TMC7	NM_024847
TMEM127	NM_017849
TMEM156	NM_024943
TMEM173	NM_198282
TMEM41B	NM_015012
TMEM87A	NM_015497
TMPRSS2	NM_001135099
TNC	NM_002160
TNF	NM_000594
TNFAIP3	NM_006290
TNFRSF11A	NM_003839
TNFRSF14	NM_003820
TNFRSF4	NM_003327
TNFSF11	NM_003701
TNK2	NM_001382273
TNKS2	NM_025235
TNRC6B	NM_001162501
TNS1	NM_001387777
TOP1	NM_003286
TOP2A	NM_001067
TOP2B	NM_001330700
TOP3A	NM_004618
TOP3B	NM_001282112
TOPAZ1	NM_001145030
TOPBP1	NM_007027
TOX4	NM_014828
TP53	NM_000546
TP53BP1	NM_001141980
TP53BP2	NM_001031685
TP63	NM_003722
TPMT	NM_000367
TPR	NM_003292
TPRG1	NM_198485
TPRX1	NM_001397346
TPX2	NM_012112
TRAF2	NM_021138
TRAF3	NM_145725
TRAF5	NM_001033910
TRAF7	NM_032271
TRIM21	NM_003141
TRIM24	NM_015905
TRIM27	NM_006510
TRIM33	NM_015906
TRIM47	NM_033452
TRIM49	NM_020358
TRIM65	NM_173547
TRIM6-TRIM34	NM_001003819
TRIM8	NM_030912
TRIP11	NM_004239
TRMT5	NM_020810
TRO	NM_001039705
TRPC4	NM_016179
TRPM2	NM_003307
TRPM8	NM_024080
TRPS1	NM_014112
TRRAP	NM_001375524
TSC1	NM_000368
TSC2	NM_000548
TSHR	NM_000369
TSPAN8	NM_004616
TTC40	NM_001200049
TTK	NM_003318
TTN	NM_133379
TUSC3	NM_006765
TUSC5	NM_172367
TXNRD2	NM_006440
TYK2	NM_003331
TYMS	NM_001071
TYRO3	NM_006293
U2AF1	NM_006758
U2AF2	NM_007279
UBA52	NM_001033930
UBB	NM_018955
UBC	NM_021009
UBE2I	NM_003345
UBE2N	NM_003348
UBE2V2	NM_003350
UBE3A	NM_130839
UBR4	NM_020765
UBR5	NM_015902
UGT1A1	NM_000463
UIMC1	NM_001199298
UMPS	NM_000373
UNC13C	NM_001080534
UNC13D	NM_199242
UNC79	NM_001395159
UNC93A	NM_018974
UPF1	NM_002911
URB2	NM_014777
USF3	NM_001009899
USH2A	NM_206933
USP21	NM_001014443
USP42	NM_032172
USP6	NM_001304284
USP8	NM_001128610
USP9X	NM_001039591
VAMP2	NM_014232
VAV1	NM_005428
VAV2	NM_001134398
VCX3A	NM_016379
VCX3B	NM_001001888
VEGFA	NM_001171623
VEGFB	NM_003377
VEGFC	NM_005429
VHL	NM_000551
VPS13B	NM_017890
VPS4B	NM_004869
VTCN1	NM_024626
VWF	NM_000552
WAC	NM_016628
WARS1	NM_004184
WAS	NM_000377
WDFY4	NM_001394531
WDR7	NM_015285
WDR72	NM_182758
WDR90	NM_145294
WEE1	NM_003390
WHSC1	NM_001042424
WHSC1L1	NM_023034
WIF1	NM_007191
WISP3	NM_198239
WNK3	NM_020922
WNT7A	NM_004625
WNT8A	NM_001300939
WRN	NM_000553
WT1	NM_024426
WWTR1	NM_001168280
XBP1	NM_005080
XDH	NM_000379
XIAP	NM_001167
XIRP2	NM_152381
XKR4	NM_052898
XPA	NM_000380
XPC	NM_004628
XPO1	NM_003400
XRCC1	NM_006297
XRCC2	NM_005431
XRCC3	NM_005432
XRCC4	NM_003401
XRCC5	NM_021141
XRCC6	NM_001469
YAF2	NM_005748
YAP1	NM_001130145
YES1	NM_005433
YIPF2	NM_001321439
YTHDC1	NM_001031732
YY1	NM_003403
ZAN	NM_003386
ZAP70	NM_001079
ZBP1	NM_030776
ZBTB16	NM_006006
ZBTB2	NM_020861
ZBTB20	NM_001348800
ZBTB7B	NM_001256455
ZDHHC11B	NM_001351303
ZFHX3	NM_006885
ZFHX4	NM_024721
ZFP36L1	NM_001244698
ZFP36L2	NM_006887
ZHX2	NM_014943
ZIC2	NM_007129
ZMIZ1	NM_020338
ZMIZ2	NM_031449
ZMYM2	NM_197968
ZMYM3	NM_201599
ZMYM6	NM_007167
ZNF217	NM_006526
ZNF248	NM_021045
ZNF292	NM_015021
ZNF331	NM_001079906
ZNF384	NM_001385745
ZNF469	NM_001367624
ZNF521	NM_015461
ZNF703	NM_025069
ZNF90	NM_007138
ZNRF3	NM_001206998
ZRSR2	NM_005089
ZZZ3	NM_015534
