gene_symbol	gene_length
RN7SKP56	331
FCRL3	26970
UBE2Q1-AS1	432
RN7SKP57	293
WNT5A-AS1	500
LYRM2	16342
FCRL4	6128
RNU6-1276P	104
IFITM1	15146
SPPL3	11166
RN7SKP58	305
FCRL5	26862
RNU6-1144P	104
IFITM2	10030
RNU6-1012P	109
RN7SKP59	314
LYRM4	9482
FCRL6	8832
VSTM2A-OT1	3031
IFITM3	11158
TNK1	12296
IFITM5	736
LYRM7	7425
TNK2	69900
LYRM9	9823
GP6-AS1	3009
CENPS-CORT	4486
RHPN1-AS1	1918
OR13J1	939
MRTO4	3036
MIR155HG	3270
OCIAD1	25404
RNU6-1247P	98
FCRLA	26726
OCIAD2	6963
SQLE-DT	412
RNU6-1115P	106
FCRLB	8614
RCVRN	3178
ZDBF2	69982
CDHR1	19655
CDHR2	15176
CDHR3	20904
PRAMEF10	1525
CDHR4	6331
PRAMEF11	1845
CDHR5	18579
OR10K1	10276
PRAMEF12	2889
OR10K2	3023
PRORP	22217
PRAMEF13	3494
RNU6-74P	107
PRAMEF14	3496
RNU6-1218P	108
PRAMEF15	1865
RPS12P2	269
SLC25A21-AS1	1924
PRAMEF17	1578
LCLAT1	20225
BARX1-DT	1752
RPS12P3	401
DMBT1L1	11602
C11orf71	2632
VN2R19P	1052
PRAMEF18	2067
RPS12P4	399
DYNC1I1	22060
ADM-DT	803
SLC30A6P1	528
TICRR	15811
PRAMEF19	1440
RPS12P5	371
DYNC1I2	35756
AGXT	7079
SKIL	23443
ASNSD1	6118
SDHAP1	8292
PRORY	878
ILF2P1	1168
SDHAP2	2001
ILF2P2	1117
C8orf74	7945
SDHAP3	11275
BGLAP	1437
PTGER4P2	778
C8orf76	5341
PTGER4P3	252
SMPD1	13981
TNKS	23250
SMPD2	2779
RNU6-45P	107
SMPD3	15771
WNT1	2422
SMPD4	63311
WNT2	10913
H3-2	4985
WNT3	5129
SMPD5	7962
TMEM176A	11463
AGAP10P	2418
PLS3-AS1	2284
TEN1	3209
WNT4	5130
H3-4	516
TMEM176B	7325
BTG3-AS1	4105
H3-5	1114
BICD1P1	1222
WNT6	2127
DNAJC17P1	947
TAF9B	3391
RNU6-1071P	101
GATAD2A	31438
RNU6-16P	107
GATAD2B	16017
RNF2	6654
RNF4	23076
RNF5	1474
RNF6	13126
GABRR1	16116
GABRR2	6968
RNF7	7224
NSA2P1	792
NSA2P2	780
GABRR3	7763
RNF8	14216
OR51A6P	1004
KRT41P	1293
NSA2P3	778
RNU6-1174P	101
MTCO1P1	1081
NSA2P4	784
RNU6-1042P	107
RALGAPB	45097
MTCO1P2	703
NSA2P5	772
MTCO1P3	192
RBIS	8029
NSA2P6	769
FAM76A	11086
TECPR1	20604
PHF5A	1849
RPL10AP1	643
TECPR2	16170
MTCO1P4	1409
NSA2P7	514
FAM76B	18437
UBR1	18531
MTCO1P5	344
RN7SKP60	239
RPL10AP2	654
UBR2	18205
MTCO1P6	1384
RN7SKP61	295
RPL10AP3	651
PROS1	26722
UBR3	31249
MTCO1P7	1542
RN7SKP62	329
ZC3H3	3816
RN7SKP63	301
ZC3H4	15392
UBR4	48083
MTCO1P8	1523
RPL10AP5	634
UBR5	38041
MTCO1P9	1534
RN7SKP64	328
RPL10AP6	652
RN7SKP65	313
FIBCD1	12957
ZC3H6	24467
UBR7	7439
ARMCX5-GPRASP2	14786
RN7SKP66	231
RNU6-1277P	107
NICN2P	635
RN7SKP67	235
ZC3H8	9037
GNL2P1	2190
RN7SKP68	307
RNU6-1145P	107
RN7SKP69	305
RNU6-1013P	107
FAM47A	2563
FAM47B	2120
OR2A1	4746
FAM47C	3299
RAB9AP1	573
SALRNA1	2086
OR2A2	957
IFT122	348868
RAB9AP2	597
SALRNA2	2066
FAM47E	14718
RAB9AP3	573
SALRNA3	1021
OR2A4	1758
RAB9AP4	609
SCPEP1	15328
OR2A5	9245
RAB9AP5	597
FBLL1	1330
OR2A7	3178
RNU6-1248P	64
ARAP1	47080
RNU6-1116P	99
ARAP2	17284
ARAP3	24400
NEDD1	20176
RPS15P4	447
RPS15P5	432
SDHDP1	474
NEDD4	48135
SDHDP2	465
RPS15P9	319
PRAMEF20	1502
SDHDP3	471
SDHDP4	474
NEDD8	6633
SDHDP5	473
NEDD9	27131
SDHDP6	480
RNU6-1219P	112
RNU6-75P	104
PRAMEF25	3703
PRAMEF26	1909
ZNF511-PRAP1	1044
C11orf80	21208
B4GAT1	2007
TERB1	12005
PRAMEF27	1947
TERB2	2867
MRGPRF-AS1	2564
C8orf82	7481
RPLP2P1	340
C11orf86	2355
C11orf87	5867
TCP11X1	4971
C8orf86	5366
TCP11X2	6561
RNU6-46P	107
C8orf88	1041
TP53AIP1	9427
C8orf89	1686
GRIPAP1	23351
BARHL1	3103
MAP1LC3B2	2406
LRRC8C-DT	26316
BARHL2	2044
PLCD1	12704
XXYLT1-AS1	431
PLCD3	11796
XXYLT1-AS2	1206
PCDH10	14052
PLCD4	26384
PCDH12	6745
AP2M1	76459
ZNF652P1	1309
NAA80	7985
PCDH15	141948
RNU6-1072P	107
SELE	17050
RNU6-17P	107
GRIP1	28889
TMEM97P1	451
PCDH17	14963
GRIP2	31799
PCDH18	20733
TMEM97P2	403
TFCP2L1	9890
PCDH19	26118
SPANXA2-OT1	17300
APOBEC3A	4849
NABP1-OT1	3541
APOBEC3B	6075
MIR2052HG	8065
SELL	8204
APOBEC3C	3700
PDIA3P1	5293
APOBEC3D	5067
PDIA3P2	158
APOBEC3F	6412
SELP	15054
APOBEC3G	9915
KRT42P	8511
RNU6-1175P	107
ADAMTS16-DT	11444
APOBEC3H	5223
RNU6-1043P	99
SLMAP	83870
SNAP25-AS1	61957
RN7SKP70	271
OR5A1	8612
RN7SKP71	318
OR5A2	22418
RN7SKP72	292
RN7SKP73	292
RN7SKP74	309
ABI1P1	1120
RN7SKP75	296
GMCL1P2	823
RN7SKP76	323
LAMTOR3P1	370
RNU6-1278P	107
ASGR1	10439
ENTPD1-AS1	90681
RN7SKP77	353
LAMTOR3P2	232
RNU6-1146P	102
RPS18P1	458
ASGR2	8298
RN7SKP78	318
RNU6-1014P	103
RN7SKP79	336
PSPC1P1	665
CDH8-AS1	714
PSPC1P2	225
RPS18P6	458
OR2B2	1212
SPARC	8822
MGC15885	4175
CALR4P	5962
OR2B3	1106
COX7A2P1	315
AKR1D1P1	936
RPS18P9	2181
COX7A2P2	250
OR2B6	942
PGR-AS1	1974
RNU6-1249P	111
RNU6-1117P	104
PHAX	6912
STK17A	8747
KDM4A-AS1	7671
CCER1	4120
STK17B	8350
CCER2	1655
MYCNUT	1039
MIR548A1HG	2778
AP1S2P1	379
TNMD	1747
SPART	28040
DUSP12P1	516
PRAMEF33	1518
RNU6-76P	104
MIR1233-1	82
MIR1233-2	82
RTF1	7734
C11orf91	1127
MIR125B1	88
MIR125B2	89
RTF2	10686
SNRPA1	12752
SEM1	24460
FAM185BP	4856
PIK3IP1-DT	976
C11orf94	1118
SLC5A4P1	612
NDUFV2-AS1	2494
MYL12A	8611
MYL12B	5553
AP1AR-DT	2036
C11orf96	2550
CBLL1P1	1600
C11orf97	672
CARNMT1	5986
AP5M1	18868
C11orf98	1825
RNU6-47P	107
TXNL4AP1	425
FAM204BP	701
AGAP12P	4500
TMEM178A	5441
BCL6B	6439
TEP1	42663
PLCE1	136573
TMEM178B	11200
DNHD1	57228
SLC25A36P1	465
PCDH20	4778
SCYL2P1	2765
VINAC1P	1146
ITPRIP-AS1	954
RNU6-1073P	106
RNU6-18P	107
PHB2	24224
SEPTIN9-DT	1994
C14orf28	8050
SLCO1B3-SLCO1B7	4719
RNH1	33471
OR8A1	8820
PRRT1	9116
PRRT2	27872
PRRT3	8618
TGFB2-AS1	5137
PRRT4	13244
LSM14A	15255
LSM14B	6778
FPGT-TNNI3K	18851
OR51A8P	1978
KRT43P	910
RNU6-1176P	107
RNU6-1044P	107
RAD51-AS1	6220
PCDHB10	3295
RBKS	4763
FAM78A	12938
POLRMT	9454
PCDHB11	6126
FAM78B	13052
P3H1	22209
RN7SKP80	283
PCDHB12	7909
STIL	47009
P3H2	11401
P3H3	13760
PCDHB13	5061
RN7SKP81	331
OR5B2	3259
P3H4	10006
PCDHB14	6784
RN7SKP82	223
OR5B3	1046
SLC66A2P1	429
PCDHB15	4543
RN7SKP83	178
RAMP1	3064
RAMP2	3393
PCDHB16	4734
RN7SKP85	318
RAMP3	2425
TEPP	5553
OXGR1	9554
RN7SKP86	332
SMYD1	7453
ABCA9-AS1	4009
RN7SKP87	301
SMYD2	13069
RNU6-1279P	103
RN7SKP88	250
SMYD3	16321
RNU6-1147P	107
SMYD4	10614
RN7SKP89	242
RNU6-1015P	99
SMYD5	6843
IFT140	23150
DNAJC27-AS1	25711
OR2C1	1418
OR2C3	18888
RBMS1	26462
RBMS2	16298
CXCL1	1748
CXCL2	2260
RBMS3	41771
FBLN1	19878
IGHVII-60-1	256
PRIMPOL	14395
CXCL3	4130
HMGB3P10	572
FBLN2	14741
HMGB3P11	604
CXCL5	2436
SNRPGP10	225
UBTF	32340
SNRPGP11	232
HMGB3P12	556
CXCL6	2635
RNU6-1118P	104
FBLN5	12425
HMGB3P13	607
LNC-LBCS	43236
SNRPGP12	213
SNRPGP13	177
FAT1P1	507
HMGB3P14	599
CXCL8	2941
TNFAIP1	7405
SNRPGP14	219
HMGB3P15	574
CXCL9	2761
FBLN7	13706
SNRPGP15	222
TNFAIP2	18345
HMGB3P16	287
HMGB3P17	649
TNFAIP3	11285
SNRPGP16	226
SNRPGP17	214
HMGB3P18	590
SNRPGP18	214
HMGB3P19	560
WDPCP	32576
KCNJ6-AS1	357
PECR	7065
MBNL1-AS1	12770
TNFAIP6	1923
SNRPGP19	189
TNFAIP8	14900
SPAST	49767
PAK1IP1	1523
RNU6-77P	91
TRBV3-1	391
FAM207BP	505
IL20RB-AS1	562
SNRPB2	4539
UNC50	6165
RBL1	10273
MIS18BP1	14604
SWI5	5255
TRBV25OR9-2	374
RBL2	21466
SLC25A39P1	1065
SLC25A39P2	270
ATF1P1	927
RNU6-48P	107
FAM204CP	642
DOCK9-AS1	392
BCL7A	10840
AGAP13P	363
BCL7B	14125
TMEM179B	3924
BCL7C	6627
AMZ1	18920
PIP4K2A	9207
PIP4K2B	7335
AMZ2	24515
PIP4K2C	11642
UNC5A	9192
UNC5B	13292
UNC5C	25404
RPL26P13	437
AGTPBP1	20524
PHC1	26109
UNC5D	36140
RNU6-1074P	104
RNU6-19P	107
PHC2	25569
RPL26P15	368
PHC3	33005
C14orf39	5792
OASL2P	532
TBR1	14162
RNU6ATAC2P	126
OR8B2	1093
RPL26P19	438
OR8B3	2170
SERAC1	53094
OR8B4	930
PNLIP	1998
THPO	10032
SLC25A20P1	903
C1QTNF3-AMACR	3424
OR8B8	4947
OR51A9P	911
RNU6-1177P	104
RNU6-1045P	107
PPP1R13B-DT	2056
UTP3	2020
UTP4	17509
RN7SKP90	335
OR5C1	963
RN7SKP91	288
ZNF295-AS1	13782
UTP6	11646
RN7SKP92	244
RN7SKP93	309
RN7SKP94	284
MGAT2P1	797
SLC2A3P1	1451
RN7SKP95	303
MGAT2P2	797
SLC2A3P2	1480
IGLVIV-66-1	460
RN7SKP96	297
SLC2A3P4	1471
RN7SKP97	333
STIMATE	7271
RN7SKP98	156
RNU6-1148P	104
RN7SKP99	307
RNU6-1016P	94
OR2D2	927
OAZ1P1	685
SEMA3A	13243
OR2D3	993
THOP1	18405
SEMA3B	31046
SEMA3C	11863
RACGAP1	27250
SEMA3D	11137
SLC9A3-AS1	13403
HMGB3P20	600
SEMA3E	19877
SNRPGP20	205
FAIM2	10583
HMGB3P21	547
SEMA3F	15274
HMGB3P22	1169
SEMA3G	6457
TRBV6-1	401
RNU6-1119P	108
SSX2IP	23450
HMGB3P23	585
TRBV6-2	424
HMGB3P24	622
SMARCE1P1	1186
TRBV6-4	365
SMARCE1P2	1219
HMGB3P26	582
SMARCE1P3	1231
TRBV6-5	410
HMGB3P27	561
TRBV6-6	388
SMARCE1P4	241
SMARCE1P5	1225
TRBV6-7	344
STK19B	211
TRBV6-8	341
SMARCE1P6	1216
SMARCE1P7	485
ATF4P1	1073
JMJD4	10154
ATF4P2	1073
ATF4P3	1056
JMJD6	18696
RNU6-78P	107
ATF4P4	2979
JMJD7	4548
FAM207CP	507
ZDHHC1	7541
JMJD8	17633
ZDHHC2	6912
SRPX2	15171
ZDHHC3	25820
YY1AP1	49599
RABGAP1L-IT1	737
ZDHHC4	14628
ZDHHC5	13778
FAM172BP	1089
ZDHHC6	68221
MPZL1	16668
ZDHHC7	10559
MPZL2	8806
RBM3	13941
LNCSRLR	709
ZDHHC8	13848
MPZL3	7300
FBXL2	28264
RBM4	16682
RELA	28401
RELB	9677
FBXL3	9188
RBM5	28400
ZDHHC9	8987
UQCRFS1-DT	2267
KICS2	10538
FBXL4	10868
RBM6	31315
SEZ6L-AS1	535
FBXL5	19012
RBM7	19323
RNU6-49P	107
FBXL6	11736
FBXL7	10298
FBXL8	7595
FAM204DP	578
AGAP14P	2060
PLCG1	33858
STK3	25411
LGALSL-DT	3757
STK4	18618
PLCG2	21111
CRTAC1	10063
MTND4LP10	291
RPL26P20	432
CYP4A11	13162
MTND4LP11	280
RELN	116778
MTND4LP12	295
USP12P1	1117
MTND4LP13	298
RNU6-1075P	107
EFEMP1	14163
USP12P2	1024
MTND4LP14	288
EFEMP2	19941
HDGFL3P1	894
ZFPM1-AS1	733
MTND4LP16	295
ZBED1	18199
RPL26P26	434
MTND4LP17	293
RELT	15759
ZBED2	2214
RPL26P27	437
MTND4LP18	291
ZBED3	7108
RPL26P28	435
GAS2L1	17823
ZBED4	6893
RNU6ATAC3P	126
AMACR	17090
MTND4LP19	166
RPL26P29	438
GAS2L2	3375
ZBED5	17162
GAS2L3	18774
ZBED6	12481
ZBED8	5292
TERC	541
ZBED9	13873
RNU6-1178P	107
NHSL1	18859
FRRS1L	18625
RNU6-1046P	107
IMMP1L	10587
NHSL2	42364
PLOD1	10645
PPP1R12A	40891
PLOD2	20244
P4HA1	14246
PPP1R12B	49682
PLOD3	13507
PPP1R12C	15580
P4HA2	33096
P4HA3	10725
PDE3A-AS1	525
RBMX	19630
ARHGAP27P1-BPTFP1-KPNA2P3	4050
SQLE	7586
EPHA10	21123
SWSAP1	2583
IQCA1L	3977
RNU6-1149P	97
SOD2-OT1	1718
RNU6-1017P	106
TERT	18851
TBXAS1	29208
TNP1	407
TNP2	2405
SEMA4A	23252
SEMA4B	24523
METAP1D	7121
F11-AS1	4278
SEMA4C	15080
SEMA4D	54537
HMGB3P30	606
HMGB3P31	595
SEMA4F	22183
AOPEP	26362
HMGB3P32	561
SEMA4G	21675
USP12PX	1057
USP12PY	1064
LINC00328-2P	219
REM1	1660
REM2	3189
FGF13-AS1	1433
ASZ1	11930
NDUFA6-DT	13187
GLYATL1	22744
OR10P1	942
GLYATL2	3614
GLYATL3	2750
RTCA-AS1	20282
RNU6-79P	107
SLC12A9-AS1	664
NPIPB11	4869
FABP6-AS1	3147
NPIPB12	7244
NPIPB13	7229
COMMD4P1	982
TERF1	45198
SNRPD1	6646
TERF2	11946
COMMD4P2	386
SNRPD2	4356
NPIPB15	4315
CATIP	5884
TSSK1A	768
SNRPD3	4577
TSSK1B	2437
SNORA15B-1	135
SNORA15B-2	135
SEPSECS-AS1	4438
PKD1	81596
RREB1	41842
GRAMD4	13197
PKD2	12190
UNC79	44983
PLCH1	29182
PNLIPP1	675
PTPRD-AS1	8971
PLCH2	35286
NDNF-AS1	621
PTPRD-AS2	2838
THRA	17634
THRB	65257
MTND4LP20	270
RPL26P30	1613
MTND4LP21	295
RPL26P31	433
CYP4A22	11453
MTND4LP22	276
RNU6-1076P	104
MTND4LP24	291
RPL26P34	451
PNCK	29438
RPL26P35	460
MTND4LP25	163
BCL9L	24258
MTND4LP26	282
RPL26P36	436
RPL26P37	438
OR8D1	17597
RNU6ATAC4P	126
OR8D2	936
JPT1P1	464
SHOX	14993
TMEM30A-DT	18895
NPIPB1P	1957
LRRN4CL	2212
OR8D4	4235
ANKMY1	44949
ZNF8-DT	3165
RAB11FIP1P1	1762
ATXN7L1	20934
ANKMY2	7746
SDCBPP1	890
ATXN7L2	24704
ATXN7L3	18464
TESC	5773
SDCBPP2	885
SDCBPP3	891
RNU6-1179P	107
KLF4P1	1185
PEF1	6727
IMMP2L	8780
RNU6-1047P	107
TWNK	16713
PPP1R13B	32194
TMSB15A	634
ALOX12	3858
TMSB15B	10992
PROX1	30233
PROX2	8916
ALOX15	8957
ATG4AP1	538
CTLA4	4627
SMARCAL1-AS1	666
ASMTL	8446
RNU6-1018P	106
LEPROTL1	11499
PPP1R13L	13467
ZEB2P1	2043
OR2F1	10349
OR2F2	954
IFT172	88272
SEMA5A	20195
HUNK-AS1	616
SEMA5B	44219
ANKRD62P1-PARP4P3	1784
IL1RAPL1	4929
IL1RAPL2	4910
NBAS	18019
DDX19A-DT	3968
PHEX	23414
TDRD1	12277
MARCHF11-DT	2066
SMARCA1	16888
TDRD3	20513
UTRN	22156
PRKX-AS1	516
SMARCA2	106828
SMARCA4	184144
TDRD5	12707
OXSR1	9858
TDRD6	18437
NACAP2	624
SMARCA5	8576
TDRD7	4383
OR10Q1	1037
USH2A-AS1	699
TDRD9	11487
IGHV3-30-2	355
USH2A-AS2	1585
NACAP5	636
NACAP6	622
SH2B1	31000
NACAP7	609
NACAP8	481
SH2B2	4839
KATNA1	9082
SH2B3	8141
UNC80	71428
NOPCHAP1	28697
LY6G5B	4836
LY6G5C	5461
TFCP2	13244
ALDH18A1	8708
OSGEP	13301
KREMEN1	11913
KREMEN2	11813
NFAM1	6284
LINC02100	238
RUNX3-AS1	820
DIAPH1	30148
LINC02101	4919
TET1	9612
DIAPH2	12933
SHPK	3788
PRC1-AS1	8401
DIAPH3	27149
LINC02102	6818
TET2	55426
YTHDF3-DT	718
IGHVIII-38-1	282
LINC02103	2347
TET3	19552
LINC02104	1252
SLC30A10	14592
LINC02105	11933
MTND4LP30	297
LINC02106	831
MTND4LP31	294
MTND4LP32	270
LINC02108	1184
KLF7P1	1048
RNU6-1077P	102
LINC02109	15031
PHF1	13818
PHF2	11358
SOAT1	21365
SOAT2	4440
PHF3	50717
CCNT1	17393
RNU6ATAC5P	126
PHF6	50902
PRRX1	12049
PHF7	11259
PRRX2	1305
CCNT2	23261
CYCTP	315
PHF8	54848
NDUFA1	421
NDUFA2	2573
NDUFA3	6897
SRP14-DT	10745
NCMAP	8043
IGHVII-53-1	255
NDUFA4	4431
ARHGEF3-AS1	825
NDUFA5	77322
NDUFA6	2730
ZBTB1	12759
NDUFA7	3191
ZBTB2	3103
RNU6-1048P	107
ZBTB3	6844
NDUFA8	804
PEG3	105105
ZBTB4	11816
NDUFA9	14164
UTS2	2612
PPP1R14A	3186
ZBTB5	4690
OR5F1	945
PPP1R14B	2509
ZBTB6	4099
VPS13A	59301
TTPA	2916
PPP1R14C	2219
VPS13B	122105
OR4K11P	976
VPS13C	74912
PPP1R14D	1497
ATP11A-AS1	2192
FRA10AC1	10258
USP30-AS1	689
ZBTB9	4533
VPS13D	78676
RANBP1P1	606
UQCC1	31098
UQCC2	6590
UQCC3	4215
RNU6-1019P	107
ZC3H10	10025
CABP1	8641
CABP2	3918
MYB-AS1	449
ZC3H13	24479
RNU4ATAC	127
SKP1	20586
ZC3H14	55734
CABP4	8691
SKP2	79636
CABP5	2150
OR2G2	954
ZC3H15	7363
SEMA6A	27426
OR2G3	930
CABP7	3334
SEMA6B	14295
ZC3H18	18576
SEMA6C	18368
TOPAZ1	5334
SEMA6D	53040
OR2G6	11924
HNRNPKP1	1379
IGHV3-33-2	346
SPATA1	5717
HNRNPKP2	1390
RAPSN	6349
PACRGL	35125
SPATA2	8181
HNRNPKP3	3823
SPATA3	7349
RNLS	7722
HNRNPKP4	1386
SPATA4	3660
HNRNPKP5	253
SPATA5	17661
SPATA6	18134
SMARCB1	39914
SPATA7	24629
SHQ1	13634
SPATA8	5919
PSMB3P1	611
TMEM132D-AS1	5094
TMEM132D-AS2	1568
SPATA9	8302
PSMB3P2	618
RN7SL820P	299
INHCAP	3829
OR10R2	2107
VEZT	49667
UQCRFS1	3086
KATNB1	12034
OR8B10P	932
LINC02400	4255
LINC02401	16884
NUDCD1	36402
LINC02402	3464
NUDCD2	9729
LINC02403	484
NUDCD3	17209
STARD10	17200
RBP1	7844
LINC02404	2730
RBP2	1363
LINC02405	18039
RBP3	4290
UROC1	5999
STARD13	23092
LINC02406	3535
RBP4	3198
FBXO2	5672
LY6G6C	1830
MIR3936HG	9420
BLOC1S6P1	744
RBP5	5029
FBXO3	29589
LY6G6D	1541
LINC02408	3037
FBXO4	7555
LY6G6E	1676
VCPKMT	8036
LINC02409	576
ARMS2	818
FBXO5	6885
LY6G6F	1023
RBP7	1486
FBXO6	3175
FBXO7	17917
GNRH1	2262
GNRH2	1940
STN1	9877
FBXO8	7422
FBXO9	19322
LINC02110	546
AMOTL1	19812
LINC02111	2312
AMOTL2	24528
LINC02112	4243
DCLRE1A	9398
CHIAP1	995
LINC02113	336
DCLRE1B	10894
CHIAP2	5929
LINC02114	801
PARD3B	45899
DCLRE1C	33090
CHIAP3	1133
LINC02115	432
LINC02116	493
AP2S1	6334
LINC02117	540
LINC02118	826
RNU6-1078P	103
LINC02119	11518
DPRXP1	460
DPRXP2	1060
DPRXP3	573
SERGEF	18178
DPRXP4	568
DPRXP5	539
EXOSC3P1	500
RNU6ATAC6P	126
DPRXP6	568
EXOSC3P2	497
RBPJ	86215
DPRXP7	466
NDUFB1	4075
PCBP2-OT1	590
RALGPS1	25665
RTKN	13645
MAD2L1P1	618
RALGPS2	20117
NDUFB2	9732
IGHVIII-22-2	28
YBX1P1	960
AKR1B1P1	956
NDUFB3	4949
YBX1P2	999
AKR1B1P2	934
NDUFB4	4190
YBX1P3	909
AKR1B1P3	588
NDUFB5	18295
PDXP-DT	1945
AKR1B1P4	922
YBX1P4	808
NDUFB6	2788
NDUFB7	1064
MIR122HG	10487
AKR1B1P5	934
YBX1P5	847
RNU6-1049P	107
AKR1B1P6	839
MORF4L1	22732
YBX1P6	1002
NDUFB8	5666
AKR1B1P7	952
MORF4L2	12966
YBX1P7	535
NDUFB9	36636
RNA5SP18	121
PPP1R15A	4075
YBX1P8	943
NEBL	51139
AKR1B1P8	936
RNA5SP19	109
RTEL1	41413
YBX1P9	679
PPP1R15B	21457
TUBB4AP1	1325
OR4K12P	945
OR5G3	944
SF1-DT	452
CLEC12A-AS1	3956
SBSN	3496
GNRHR	5261
ANPEP	19000
ITGB1BP1	25829
ITGB1BP2	4660
GOLM1	9971
EEPD1	9228
SHARPIN	8297
GOLM2	18837
PNLIPRP1	25024
TNS1	86701
TNS2	42602
PNLIPRP2	4150
WDR45P1	1082
DPEP1	11578
PNLIPRP3	2374
OR2H1	12080
IQCJ-SCHIP1	19036
TNS3	24189
TNS4	7370
DPEP2	9808
OR2H2	4575
FAM90A10P	1395
DPEP3	3894
SEMA7A	8689
ATP6V0A1	39814
RN7SL850P	291
RBMX2	3708
ATP6V0A2	32537
GLRA1	6876
GLRA2	8779
SQOR	7048
GLRA3	12815
ATP6V0A4	19429
GLRA4	12788
SNPH	18795
RNMT	24358
SHISAL2A	4897
LINC02700	5563
SHISAL2B	3399
LINC02701	3252
CHODL-AS1	1117
GPR32P1	811
LRRC37A11P	10011
LINC02702	3185
SMARCC1	14017
SMARCC2	30726
LINC02703	2120
LINC02704	789
LINC02705	385
ZMPSTE24	14305
LINC02706	6777
RHOA	18024
LINC02707	564
OR10S1	1121
RHOB	2367
ARHGEF9-IT1	394
LINC02708	587
RHOC	16980
LINC02709	4479
RHOD	2244
RAB3IP	43844
RHOF	8960
DLEC1	19973
THRSP	1174
SMAP1	12255
RHOG	4536
MCM8-AS1	983
IMPACT	12176
RTL1	5398
LINC02410	393
SMAP2	11477
APOOP1	592
RHOH	30910
LINC02411	19657
APOOP2	539
RHOJ	6521
APOOP3	586
LINC02412	7122
SH2D5	12809
RTL3	2649
LINC02413	1621
SH2D6	14535
APOOP4	597
ATP6V0E1P1	226
RTL4	2613
APOOP5	1536
SH2D7	4389
LINC02414	2064
TAFA1	4544
ATP6V0E1P2	245
RTL5	8444
RTL6	5419
TAFA2	20389
LINC02415	1315
ATP6V0E1P3	246
LINC02416	540
TAFA3	2733
ATP6V0E1P4	242
AP5S1	11555
LINC02417	515
TAFA4	4131
TAFA5	7438
LINC02418	12396
ARMT1	6346
MORC1-AS1	564
RTL9	11183
LINC02419	1713
RHOQ	9361
HLTF-AS1	415
LINC02120	2518
RHOU	3965
TRIM52-AS1	4362
RHOV	1650
LINC02121	432
LINC02122	577
OVGP1	3318
LINC02123	2323
NKAP	11254
LINC02124	484
CTRB1	2727
IGHVIII-25-1	241
LINC02125	2198
CTRB2	5450
LINC02126	2039
LINC02127	5202
AMMECR1	21488
LINC02128	34398
LINC02129	692
RNU6-1079P	110
PARP10	27392
PARP11	22286
PLRG1	12336
PARP12	14583
ICE2P1	1849
ICE2P2	2787
OR8G1	5055
TLK1P1	2440
PARP14	28596
RNU6ATAC7P	127
SAMMSON	39992
PARP15	14816
PARP16	10156
DIPK1A	10941
DIPK1B	4768
NDUFC1	11104
RNA5SP20	84
DIPK1C	4364
OR8G5	2722
NDUFC2	5534
RNA5SP21	96
HDHD2	13745
RNA5SP22	109
GPRIN1	4234
GPRIN2	18553
HDHD3	4228
RNA5SP23	105
IGHVII-40-1	58
RNA5SP24	95
STARD4-AS1	12962
GPRIN3	20297
HDHD5	11528
HMGB1P10	563
CTCFL	59474
RNA5SP25	110
GFI1B	13316
RNA5SP26	119
SNRPEP10	274
HMGB1P11	637
RNA5SP27	119
SNRPEP11	124
HMGB1P12	598
RNA5SP28	119
MTHFD1P1	2764
HMGB1P13	642
GASAL1	7894
GTSE1-DT	1824
HMGB1P14	591
RNA5SP29	106
FAR1P1	934
PPP1R16A	15217
PPP1R16B	12932
OR5H1	5999
HMGB1P15	435
STOM	5272
OR5H2	1566
HMGB1P16	540
APPL1	14597
APPL2	19208
HMGB1P17	628
HMGB1P18	619
HMGB1P19	577
OR5H6	3123
VSTM2A	14873
VSTM2B	2065
CSN1S1	4122
OR5H8	1045
IREB2	18026
MTFR1L	28044
MARCHF10-DT	1811
MMEL1	10418
FAM90A11P	2218
ZSCAN16-AS1	10957
GLIDR	57792
BICRA	20437
VSTM2L	3423
TMEM184CP1	1255
CXCR1	2459
TPRG1L	4590
RN7SL851P	303
CXCR2	5954
TBCEL	23776
EEF1A1P1	739
CXCR3	3476
EEF1A1P2	1447
CXCR4	5048
SPATC1	3965
EEF1A1P3	1385
CXCR5	4293
BUD13	4932
EEF1A1P4	1405
CXCR6	8199
SNORA10	133
EEF1A1P5	1389
EEF1A1P6	1384
SNORA11	128
LINC02710	4800
EEF1A1P7	1394
TDRG1	16308
SNORA12	147
LINC02711	679
SMARCD1	15314
NBDY	4088
EEF1A1P8	1388
SNORA13	133
CAP1P1	1411
LRRC37A12P	1801
LINC02712	885
SMARCD2	11507
CAP1P2	1409
EEF1A1P9	1383
LINC02713	5675
SNORA15	133
LINC02714	3684
SMARCD3	18313
LINC02715	2586
LINC02716	1602
RN7SL822P	296
SNORA18	132
LINC02717	4154
SNORA19	128
LINC02718	3267
OR10T2	945
LINC02719	409
EP400P1	36900
COX10	16331
MTCL1P1	792
PTEN	38490
MEA1	8631
COX11	13106
LINC02420	741
LINC02421	3135
LINC02422	5862
LINC02423	1976
COX14	2449
PTER	14629
LINC02424	1264
AMPD1	10996
COX15	8184
SNORA1B	133
COX16	3445
LINC02425	376
AMPD2	166621
LINC02426	2430
SETSIP	879
AMPD3	28235
